amino acid,sulphur,hydrogen,oxygen,carbon,total,nitrogen
arg,0.0,10.079,0.0,48.044,100.144,42.021
ser,0.0,3.0237,15.999,12.011,31.0337,0.0
ala,0.0,3.0237,0.0,12.011,15.0347,0.0
val,0.0,7.0553,0.0,24.022,31.0773,0.0
tyr,0.0,7.0553,15.999,84.077,107.1313,0.0
phe,0.0,7.0553,0.0,84.077,91.1323,0.0
ile,0.0,9.0711,0.0,48.044,57.1151,0.0
pro,0.0,6.0474,0.0,36.033,42.0804,0.0
glu,0.0,5.0395,31.998,36.033,73.0705,0.0
lys,0.0,10.079,0.0,48.044,72.13,14.007
leu,0.0,9.0711,0.0,48.044,57.1151,0.0
met,32.065,7.0553,0.0,36.033,75.1533,0.0
asn,0.0,4.0316,15.999,24.022,58.0596,14.007
trp,0.0,8.0632,0.0,108.099,130.1692,14.007
cys,32.065,3.0237,0.0,12.011,47.0997,0.0
his,0.0,5.0395,0.0,48.044,81.0975,28.014
thr,0.0,5.0395,15.999,24.022,45.0605,0.0
asp,0.0,3.0237,31.998,24.022,59.0437,0.0
gln,0.0,6.0474,15.999,36.033,72.0864,14.007
gly,0.0,1.0079,0.0,0.0,1.0079,0.0
